"","coef","exp(coef)","se(coef)","Pr(>|z|)"
"IKZF5","0.195253628240042","1.21561926276847","0.325164479769362","0.548188718873596"
"IL15RA","-0.021646933128895","0.978585680249228","0.201262447743799","0.914348101191021"
"IL20","0.0852920976048866","1.08903512479572","0.210792752077132","0.685752899135258"
"IL22RA1","-0.061348188045898","0.940495713394311","0.141066949685651","0.663644422872648"
"IL34","0.280798653439555","1.3241869566028","0.175831654442922","0.110271410510474"
"IL4I1","0.00480774521349212","1.00481932096416","0.156926580831772","0.975559107659667"
"IMMT","0.483311873754533","1.62143550934565","0.648794701882126","0.456309158635445"
"IMPA1","0.211468058767637","1.23549050190924","0.402093431916787","0.598945380218166"
"IMPA2","-0.0990879827190106","0.905663021822928","0.291292880137159","0.733731394823559"
"INA","-0.0632968390995554","0.938664799916552","0.116697880308309","0.587543517805271"
"ING1","-0.13945206878805","0.869834714437294","0.400511350981789","0.727701207008673"
"INHA","0.133138830339471","1.14240858829422","0.129037760726903","0.302174284255475"
"INHBA","0.49291643935497","1.63708371990204","0.235048004811741","0.0359857525323825"
"INHBB","-0.0327614528711537","0.967769390665421","0.145135255374474","0.821411039472938"
"INHBC","0.160872530533409","1.17453524189049","0.316596746982451","0.611361678121878"
"INHBE","0.0494426179589311","1.05068530001796","0.193976398054679","0.7988081641691"
"INSL5","0.488430536319886","1.62975636825629","0.309215531269709","0.114203180669227"
"INSL6","0.389640686638117","1.47645019028035","0.136118921792783","0.00420310600391766"
"INTS1","0.17173957114982","1.18736856791397","0.451550158821828","0.703698004641099"
"INTS2","0.006792061995729","1.00681518035962","0.380895619075936","0.985773020359204"
"INTS3","0.726944702908915","2.06875029534652","0.554771358617774","0.1900774276081"
"INTS4","0.064532860187148","1.06666062833664","0.425006963710241","0.879313498391624"
"INTS5","-0.033975006312491","0.966595663125552","0.618519874045748","0.956194605417025"
"INTS6","-0.0225093760883605","0.977742069754319","0.630646004862565","0.971527495800078"
"INTS7","-1.25080042458839","0.286275563130488","0.527550326975943","0.0177419782423767"
"INTS8","0.275509320422819","1.31720138161542","0.490100777598619","0.574014980531629"
"INTS9","-0.736953480259828","0.478569668847665","0.532837505193797","0.166642303182222"
"IPPK","0.272155097499016","1.31279059606036","0.35216669737041","0.439639620970739"
"IQCB1","0.0954483365045716","1.10015198286876","0.42997065584998","0.824323205796484"
"IQCF1","-0.000593404311926032","0.999406771717592","0.627218659035815","0.999245130766844"
"IQCF2","-22.783981036881","1.27362847413173e-10","10445.6537286363","0.998259661600844"
"IQCF3","-29.6595901832907","1.31523587955591e-13","12566.7617649436","0.998116865143203"
"IQCF5","-12.4989170590397","3.73069110346967e-06","5971.12203197158","0.998329847286315"
"IQCF6","0.434279561752019","1.54385040931775","1.73566592016294","0.802425579657875"
"IQUB","-0.404584614599093","0.667253920838184","0.29753106542625","0.173891231032115"
"ITFG2","-0.203615241824451","0.815776187369259","0.340305598644024","0.549619384617875"
"ITIH1","-0.394495872734285","0.674019745345379","0.330469308721859","0.232577983217288"
"ITIH2","-0.110866197223407","0.895058502230002","0.264303209308733","0.674875633272115"
"ITIH3","-0.0434261595322601","0.957503253968814","0.204382943266093","0.8317368854903"
"ITIH4","0.207185785267549","1.23021110565039","0.253820448312303","0.414346251470796"
"ITIH5","-0.103899138036943","0.901316201358157","0.173759652112053","0.54987500848833"
"ITM2A","-0.289617866851407","0.748549558531453","0.173029210551902","0.0941681237131648"
